cultivar,Rep,Year,Loc,trait1,trait2,trait3,trait4
CUL_0130,1,2009,shanghai,*,5.6,4.35,0.29
CUL_0130,2,2009,shanghai,*,6.5,4.37,0.37
CUL_0131,2,2009,shanghai,*,6,4.43,0.33
CUL_0131,2,2009,shanghai,*,5.7,4.45,0.34
CUL_0132,1,2009,shanghai,*,6.3,4.27,0.41
CUL_0132,2,2009,shanghai,*,6.9,4.31,0.5
CUL_0133,1,2009,shanghai,*,4.6,4.44,0.26
CUL_0133,2,2009,shanghai,*,4.9,4.24,0.37
CUL_0134,1,2009,shanghai,*,5.9,4.15,0.6
CUL_0134,2,2009,shanghai,*,6.2,4.06,0.68
CUL_0135,1,2009,shanghai,*,6.1,4.31,0.49
CUL_0135,2,2009,shanghai,*,5.5,4.32,0.36
CUL_0136,1,2009,shanghai,*,5.7,4.35,0.38
CUL_0136,2,2009,shanghai,*,5.7,4.26,0.52
CUL_0137,1,2009,shanghai,*,4.6,4.43,0.31
CUL_0137,2,2009,shanghai,*,5.1,4.39,0.31
CUL_0138,1,2009,shanghai,*,5.4,4.4,0.3
CUL_0138,2,2009,shanghai,*,5.2,4.5,0.28
CUL_0139,1,2009,shanghai,*,5.8,4.24,0.38
CUL_0139,2,2009,shanghai,*,5.2,4.43,0.45
CUL_0140,1,2009,shanghai,*,5.4,4.07,0.57
CUL_0140,2,2009,shanghai,*,4.9,4.12,0.46
CUL_0141,1,2009,shanghai,*,4,4.28,0.33
CUL_0141,2,2009,shanghai,*,4.5,4.35,0.37
CUL_0142,1,2009,shanghai,*,4.4,4.5,0.3
CUL_0142,2,2009,shanghai,*,5.7,4.31,0.53
CUL_0478,1,2009,shanghai,*,6.1,4.45,0.36
CUL_0478,2,2009,shanghai,*,5.9,4.26,0.46
CUL_0001,1,2010,beijing,*,4.34,4.44,0.29
CUL_0001,2,2010,beijing,*,5.16,4.47,0.29
CUL_0002,1,2010,beijing,*,4.54,4.52,0.23
CUL_0002,2,2010,beijing,*,3.59,4.53,0.2
CUL_0003,1,2010,beijing,*,5,4.43,0.32
CUL_0003,2,2010,beijing,*,5.03,4.43,0.31
CUL_0004,1,2010,beijing,*,4.91,4.26,0.42
CUL_0004,2,2010,beijing,*,4.64,4.29,0.36
CUL_0005,1,2010,beijing,*,7.17,4.55,0.29
CUL_0005,2,2010,beijing,*,6,4.67,0.23
CUL_0006,1,2010,beijing,*,6.75,4.34,0.46
CUL_0006,2,2010,beijing,*,6.44,4.33,0.33
CUL_0007,1,2010,beijing,*,6.3,4.53,0.31
CUL_0007,2,2010,beijing,*,5.82,4.61,0.25
CUL_0008,1,2010,beijing,*,7.02,4.18,0.55
CUL_0008,2,2010,beijing,*,4.83,4.45,0.26
CUL_0009,1,2010,beijing,*,6.06,4.31,0.4
CUL_0009,2,2010,beijing,*,6.04,4.47,0.32
CUL_0010,1,2010,beijing,*,6.53,4.09,0.48
CUL_0010,2,2010,beijing,*,5.8,4.52,0.23
CUL_0011,1,2010,beijing,*,7.86,4.52,0.24
CUL_0011,2,2010,beijing,*,5.43,4.34,0.31
CUL_0012,1,2010,beijing,*,5.15,4.42,0.29
CUL_0012,2,2010,beijing,*,6.17,4.5,0.31
CUL_0013,1,2010,beijing,*,6.79,4.38,0.35
CUL_0013,2,2010,beijing,*,6.11,4.47,0.3
CUL_0014,1,2010,beijing,*,4.38,4.4,0.27
CUL_0014,2,2010,beijing,*,5.17,4.33,0.34
CUL_0015,1,2010,beijing,*,6.44,4.51,0.3
CUL_0015,2,2010,beijing,*,6.51,4.54,0.33
CUL_0016,1,2010,beijing,*,5.2,4.23,0.41
CUL_0016,2,2010,beijing,*,4.97,4.27,0.33
CUL_0017,1,2010,beijing,*,4.78,4.17,0.35
CUL_0017,2,2010,beijing,*,5.84,4.3,0.37
CUL_0018,1,2010,beijing,*,5.08,4.45,0.28
CUL_0018,2,2010,beijing,*,6.27,4.65,0.28
CUL_0019,1,2010,beijing,*,3.82,4.34,0.3
CUL_0019,2,2010,beijing,*,4.01,4.51,0.25
CUL_0020,1,2010,beijing,*,4.13,4.54,0.24
CUL_0020,2,2010,beijing,*,5.59,4.51,0.25
CUL_0021,1,2010,beijing,*,3.64,4.54,0.19
CUL_0021,2,2010,beijing,*,4.44,4.7,0.2
CUL_0022,1,2010,beijing,*,5.05,4.41,0.32
CUL_0022,2,2010,beijing,*,3.98,4.45,0.27
CUL_0023,1,2010,beijing,*,4.19,4.65,0.19
CUL_0023,2,2010,beijing,*,3.82,4.56,0.21
CUL_0024,1,2010,beijing,*,4.07,4.67,0.2
CUL_0024,2,2010,beijing,*,4.56,4.84,0.2
CUL_0025,1,2010,beijing,*,4.67,4.34,0.33
CUL_0025,2,2010,beijing,*,4.49,4.23,0.29
CUL_0026,1,2010,beijing,*,4.86,4.57,0.24
CUL_0026,2,2010,beijing,*,4.33,4.69,0.2
CUL_0027,1,2010,beijing,*,4.63,4.56,0.26
CUL_0027,2,2010,beijing,*,4.15,4.65,0.22
CUL_0028,1,2010,beijing,*,4.75,4.43,0.32
CUL_0028,2,2010,beijing,*,5.41,4.84,0.31
CUL_0029,1,2010,beijing,*,4.74,4.34,0.27
CUL_0029,2,2010,beijing,*,5.03,4.4,0.28
CUL_0030,1,2010,beijing,*,4.89,4.4,0.22
CUL_0030,2,2010,beijing,*,5.52,4.53,0.26
CUL_0031,1,2010,beijing,*,4.15,4.2,0.3
CUL_0031,2,2010,beijing,*,5.04,4.43,0.26
CUL_0032,1,2010,beijing,*,3.47,4.34,0.25
CUL_0032,2,2010,beijing,*,3.85,4.5,0.21
CUL_0033,1,2010,beijing,*,*,*,*
CUL_0033,2,2010,beijing,*,5.43,4.56,0.27
CUL_0034,1,2010,beijing,*,4.6,4.12,0.39
CUL_0034,2,2010,beijing,*,4.82,4.48,0.28
CUL_0035,1,2010,beijing,*,4.63,4.42,0.28
CUL_0035,2,2010,beijing,*,4.93,4.6,0.26
CUL_0036,1,2010,beijing,*,4.12,4.48,0.27
CUL_0036,2,2010,beijing,*,4.81,4.44,0.31
CUL_0037,1,2010,beijing,*,4.45,4.35,0.26
CUL_0037,2,2010,beijing,*,4.6,4.26,0.27
CUL_0038,1,2010,beijing,*,3.63,4.45,0.27
CUL_0038,2,2010,beijing,*,3.86,4.46,0.28
CUL_0039,1,2010,beijing,*,3.65,4.31,0.34
CUL_0039,2,2010,beijing,*,3.63,4.45,0.28
CUL_0040,1,2010,beijing,*,5.3,4.42,0.34
CUL_0040,2,2010,beijing,*,4.43,4.41,0.28
CUL_0041,1,2010,beijing,*,4.34,4.42,0.3
CUL_0041,2,2010,beijing,*,4.14,4.56,0.28
CUL_0042,1,2010,beijing,*,3.96,4.58,0.22
CUL_0042,2,2010,beijing,*,5.83,4.15,0.48
CUL_0043,1,2010,beijing,*,5.03,4.61,0.28
CUL_0043,2,2010,beijing,*,4.9,4.64,0.25
CUL_0044,1,2010,beijing,*,4.23,4.43,0.29
CUL_0044,2,2010,beijing,*,*,4.38,0.31
CUL_0045,1,2010,beijing,*,*,*,*
CUL_0045,2,2010,beijing,*,4.28,4.48,0.32
CUL_0046,1,2010,beijing,*,4.91,4.39,0.33
CUL_0046,2,2010,beijing,*,4.72,4.44,0.29
CUL_0047,1,2010,beijing,*,3.96,4.55,0.22
CUL_0047,2,2010,beijing,*,4.19,4.43,0.31
CUL_0048,1,2010,beijing,*,4.13,4.4,0.29
CUL_0048,2,2010,beijing,*,4.62,4.57,0.23
CUL_0049,1,2010,beijing,*,5.39,4.29,0.37
CUL_0049,2,2010,beijing,*,4.17,4.48,0.25
CUL_0050,1,2010,beijing,*,3.74,4.43,0.26
CUL_0050,2,2010,beijing,*,3.99,4.49,0.29
CUL_0051,1,2010,beijing,*,4.71,4.35,0.31
CUL_0051,2,2010,beijing,*,4.64,4.45,0.3
CUL_0052,1,2010,beijing,*,4.26,4.3,0.35
CUL_0052,2,2010,beijing,*,4.81,4.21,0.35
CUL_0053,1,2010,beijing,*,4,4.46,0.27
CUL_0053,2,2010,beijing,*,4.18,4.39,0.3
CUL_0054,1,2010,beijing,*,4.6,4.42,0.26
CUL_0054,2,2010,beijing,*,5.18,4.61,0.23
CUL_0055,1,2010,beijing,*,4.43,4.49,0.29
CUL_0055,2,2010,beijing,*,4.97,4.36,0.36
CUL_0056,1,2010,beijing,*,4.9,4.61,0.26
CUL_0056,2,2010,beijing,*,5.56,4.72,0.23
CUL_0057,1,2010,beijing,*,5.32,4.63,0.25
CUL_0057,2,2010,beijing,*,4.29,4.61,0.27
CUL_0058,1,2010,beijing,*,5.21,4.31,0.4
CUL_0058,2,2010,beijing,*,4.69,4.55,0.27
CUL_0059,1,2010,beijing,*,4.36,4.33,0.32
CUL_0059,2,2010,beijing,*,4.82,4.3,0.32
CUL_0060,1,2010,beijing,*,4.45,4.47,0.3
CUL_0060,2,2010,beijing,*,4.3,4.53,0.25
CUL_0061,1,2010,beijing,*,*,*,*
CUL_0061,2,2010,beijing,*,*,*,*
CUL_0062,1,2010,beijing,*,4.47,4.51,0.27
CUL_0062,2,2010,beijing,*,4.33,4.51,0.26
CUL_0063,1,2010,beijing,*,4.27,4.32,0.36
CUL_0063,2,2010,beijing,*,5.07,4.34,0.34
CUL_0064,1,2010,beijing,*,5.14,4.45,0.32
CUL_0064,2,2010,beijing,*,4.19,4.7,0.24
CUL_0065,1,2010,beijing,*,3.66,4.59,0.24
CUL_0065,2,2010,beijing,*,3.83,4.44,0.28
CUL_0066,1,2010,beijing,*,4.85,4.33,0.33
CUL_0066,2,2010,beijing,*,4.31,4.7,0.22
CUL_0067,1,2010,beijing,*,4.49,4.45,0.26
CUL_0067,2,2010,beijing,*,4.18,4.48,0.25
CUL_0068,1,2010,beijing,*,5.24,3.5,0.43
CUL_0068,2,2010,beijing,*,5.51,4.39,0.34
CUL_0069,1,2010,beijing,*,4.25,4.59,0.25
CUL_0069,2,2010,beijing,*,5.19,4.36,0.34
CUL_0070,1,2010,beijing,*,4.17,4.62,0.26
CUL_0070,2,2010,beijing,*,5.11,4.53,0.24
CUL_0071,1,2010,beijing,*,4.88,4.48,0.28
CUL_0071,2,2010,beijing,*,4.08,4.6,0.24
CUL_0072,1,2010,beijing,*,4.95,4.36,0.36
CUL_0072,2,2010,beijing,*,4.22,4.54,0.28
CUL_0073,1,2010,beijing,*,4.32,4.47,0.32
CUL_0073,2,2010,beijing,*,5.09,4.46,0.3
CUL_0074,1,2010,beijing,*,*,*,*
CUL_0074,2,2010,beijing,*,4.27,4.44,0.27
CUL_0075,1,2010,beijing,*,4.54,4.45,0.3
CUL_0075,2,2010,beijing,*,4.58,4.27,0.35
CUL_0076,1,2010,beijing,*,*,*,*
CUL_0076,2,2010,beijing,*,4.8,4.57,0.25
CUL_0077,1,2010,beijing,*,5.1,4.24,0.42
CUL_0077,2,2010,beijing,*,4.18,4.45,0.34
CUL_0078,1,2010,beijing,*,4.09,4.32,0.3
CUL_0078,2,2010,beijing,*,3.73,4.61,0.24
CUL_0079,1,2010,beijing,*,4.62,4.35,0.33
CUL_0079,2,2010,beijing,*,5.46,4.47,0.25
CUL_0080,1,2010,beijing,*,4.66,4.51,0.26
CUL_0080,2,2010,beijing,*,3.99,4.56,0.25
CUL_0081,1,2010,beijing,*,3.98,4.23,0.29
CUL_0081,2,2010,beijing,*,4.25,4.39,0.28
CUL_0082,1,2010,beijing,*,3.98,4.41,0.3
CUL_0082,2,2010,beijing,*,3.93,4.43,0.31
CUL_0083,1,2010,beijing,*,4.47,4.55,0.22
CUL_0083,2,2010,beijing,*,4.79,4.49,0.25
CUL_0084,1,2010,beijing,*,4.02,4.45,0.29
CUL_0084,2,2010,beijing,*,4.67,4.44,0.3
CUL_0085,1,2010,beijing,*,4.38,4.4,0.28
CUL_0085,2,2010,beijing,*,3.64,4.5,0.24
CUL_0086,1,2010,beijing,*,5.43,4.5,0.3
CUL_0086,2,2010,beijing,*,5.76,4.56,0.3
CUL_0087,1,2010,beijing,*,4.85,4.35,0.34
CUL_0087,2,2010,beijing,*,3.9,4.45,0.23
CUL_0088,1,2010,beijing,*,4.32,4.46,0.26
CUL_0088,2,2010,beijing,*,4.25,4.54,0.22
CUL_0089,1,2010,beijing,*,4.14,4.44,0.25
CUL_0089,2,2010,beijing,*,4.94,4.3,0.35
CUL_0090,1,2010,beijing,*,5.16,4.22,0.35
CUL_0090,2,2010,beijing,*,4.97,4.34,0.36
CUL_0091,1,2010,beijing,*,5.09,4.45,0.31
CUL_0091,2,2010,beijing,*,4.83,4.39,0.32
CUL_0092,1,2010,beijing,*,4.46,4.38,0.28
CUL_0092,2,2010,beijing,*,4.4,4.61,0.23
CUL_0093,1,2010,beijing,*,4.67,4.49,0.26
CUL_0093,2,2010,beijing,*,4.8,4.62,0.23
CUL_0094,1,2010,beijing,*,5.09,4.28,0.4
CUL_0094,2,2010,beijing,*,5.2,4.37,0.3
CUL_0095,1,2010,beijing,*,4.98,4.69,0.23
CUL_0095,2,2010,beijing,*,5.38,4.52,0.26
CUL_0096,1,2010,beijing,*,6.03,4.7,0.2
CUL_0096,2,2010,beijing,*,5.18,4.62,0.24
CUL_0097,1,2010,beijing,*,4.41,4.39,0.28
CUL_0097,2,2010,beijing,*,3.56,4.57,0.19
CUL_0098,1,2010,beijing,*,4.39,4.41,0.26
CUL_0098,2,2010,beijing,*,4.25,3.93,0.23
CUL_0099,1,2010,beijing,*,5.51,4.36,0.32
CUL_0099,2,2010,beijing,*,5.24,4.52,0.3
CUL_0100,1,2010,beijing,*,5.24,4.29,0.42
CUL_0100,2,2010,beijing,*,5.43,4.36,0.34
CUL_0101,1,2010,beijing,*,4.7,4.24,0.42
CUL_0101,2,2010,beijing,*,5.5,4.41,0.33
CUL_0102,1,2010,beijing,*,4.02,4.41,0.28
CUL_0102,2,2010,beijing,*,4.94,4.5,0.26
CUL_0103,1,2010,beijing,*,4.36,4.55,0.19
CUL_0103,2,2010,beijing,*,5.83,4.77,0.21
CUL_0104,1,2010,beijing,*,3.98,4.47,0.26
CUL_0104,2,2010,beijing,*,4.63,4.38,0.29
CUL_0105,1,2010,beijing,*,4.5,4.52,0.26
CUL_0105,2,2010,beijing,*,4.88,4.58,0.23
CUL_0106,1,2010,beijing,*,4.43,4.47,0.28
CUL_0106,2,2010,beijing,*,5.02,4.3,0.34
CUL_0107,1,2010,beijing,*,4.72,4.51,0.27
CUL_0107,2,2010,beijing,*,5.15,4.49,0.25
CUL_0108,1,2010,beijing,*,3.93,4.51,0.25
CUL_0108,2,2010,beijing,*,4.49,4.55,0.25
CUL_0109,1,2010,beijing,*,4.23,4.56,0.25
CUL_0109,2,2010,beijing,*,4.34,4.44,0.3
CUL_0110,1,2010,beijing,*,4.42,4.61,0.28
CUL_0110,2,2010,beijing,*,4.56,4.62,0.25
CUL_0111,1,2010,beijing,*,5.27,4.42,0.3
CUL_0111,2,2010,beijing,*,4.88,4.34,0.35
CUL_0112,1,2010,beijing,*,4.36,4.4,0.29
CUL_0112,2,2010,beijing,*,4.63,4.25,0.38
CUL_0113,1,2010,beijing,*,4.22,4.5,0.23
CUL_0113,2,2010,beijing,*,4.06,4.38,0.27
CUL_0114,1,2010,beijing,*,4.39,4.51,0.25
CUL_0114,2,2010,beijing,*,5.09,4.65,0.21
CUL_0115,1,2010,beijing,*,4.33,4.51,0.27
CUL_0115,2,2010,beijing,*,4.46,4.53,0.29
CUL_0116,1,2010,beijing,*,4.51,4.33,0.32
CUL_0116,2,2010,beijing,*,4.6,4.39,0.31
CUL_0117,1,2010,beijing,*,4.11,4.52,0.23
CUL_0117,2,2010,beijing,*,4.39,4.63,0.19
CUL_0118,1,2010,beijing,*,4.34,4.43,0.29
CUL_0118,2,2010,beijing,*,5.02,4.41,0.32
CUL_0119,1,2010,beijing,*,5.97,4.54,0.19
CUL_0119,2,2010,beijing,*,4.45,4.51,0.25
CUL_0120,1,2010,beijing,*,*,*,*
CUL_0120,2,2010,beijing,*,4.74,4.68,0.23
CUL_0121,1,2010,beijing,*,4.09,4.41,0.42
CUL_0121,2,2010,beijing,*,5.99,4.42,0.36
CUL_0122,1,2010,beijing,*,3.71,4.52,0.2
CUL_0122,2,2010,beijing,*,3.83,4.54,0.19
CUL_0123,1,2010,beijing,*,3.95,4.53,0.22
CUL_0123,2,2010,beijing,*,3.68,4.59,0.2
CUL_0124,1,2010,beijing,*,5.39,4.29,0.41
CUL_0124,2,2010,beijing,*,5.97,4.56,0.23
CUL_0125,1,2010,beijing,*,5.64,4.51,0.3
CUL_0125,2,2010,beijing,*,4.24,4.29,0.34
CUL_0126,1,2010,beijing,*,4.65,4,0.35
CUL_0126,2,2010,beijing,*,5.48,4.54,0.27
CUL_0127,1,2010,beijing,*,5.04,4.41,0.31
CUL_0127,2,2010,beijing,*,6.57,4.37,0.4
CUL_0128,1,2010,beijing,*,*,4.38,0.26
CUL_0128,2,2010,beijing,*,5.11,4.33,0.3
CUL_0129,1,2010,beijing,*,4.1,4.58,0.22
CUL_0129,2,2010,beijing,*,3.69,4.4,0.22
CUL_0130,1,2010,beijing,*,4.2,4.58,0.21
CUL_0130,2,2010,beijing,*,4.44,4.69,0.19
CUL_0132,1,2010,beijing,*,6.14,4.46,0.33
CUL_0132,2,2010,beijing,*,7.29,4.66,0.3
CUL_0133,1,2010,beijing,*,4.28,4.57,0.2
CUL_0133,2,2010,beijing,*,3.79,4.66,0.17
CUL_0134,1,2010,beijing,*,5.12,4.2,0.41
CUL_0134,2,2010,beijing,*,4.56,4.47,0.32
CUL_0135,1,2010,beijing,*,4.95,3.82,0.29
CUL_0135,2,2010,beijing,*,4.63,4.76,0.19
CUL_0136,1,2010,beijing,*,4.88,4.32,0.37
CUL_0136,2,2010,beijing,*,5.01,4.21,0.49
CUL_0137,1,2010,beijing,*,4.78,4.45,0.25
CUL_0137,2,2010,beijing,*,5.26,4.59,0.22
CUL_0139,1,2010,beijing,*,5.35,4.41,0.31
CUL_0139,2,2010,beijing,*,4.61,4.46,0.28
CUL_0140,1,2010,beijing,*,4.91,4.33,0.3
CUL_0140,2,2010,beijing,*,4.53,4.58,0.24
CUL_0141,1,2010,beijing,*,3.68,4.44,0.19
CUL_0141,2,2010,beijing,*,3.58,4.42,0.21
CUL_0142,1,2010,beijing,*,4.21,4.5,0.22
CUL_0142,2,2010,beijing,*,6.46,4.61,0.35
CUL_0001,2,2010,shanghai,93832.21,5.4,4.58,0.31
CUL_0002,2,2010,shanghai,59240.34,5.2,4.52,0.32
CUL_0003,2,2010,shanghai,129124.33,4.8,4.47,0.35
CUL_0004,2,2010,shanghai,101674.91,5.4,4.32,0.55
CUL_0005,2,2010,shanghai,108817.36,6.2,4.39,0.41
CUL_0006,2,2010,shanghai,94392.41,5.6,4.43,0.34
CUL_0007,2,2010,shanghai,43695,7.1,4.36,0.44
CUL_0008,2,2010,shanghai,76326.2,7.2,4.3,0.53
CUL_0009,2,2010,shanghai,64282.07,7.4,4.42,0.56
CUL_0010,2,2010,shanghai,103915.68,6.8,4.36,0.48
CUL_0011,2,2010,shanghai,110217.84,5.7,4.4,0.36
CUL_0012,2,2010,shanghai,102655.24,6,4.51,0.4
CUL_0013,2,2010,shanghai,89210.63,7.8,4.5,0.31
CUL_0014,2,2010,shanghai,129544.48,5.7,4.46,0.48
CUL_0015,2,2010,shanghai,75766.01,6.6,4.57,0.38
CUL_0016,2,2010,shanghai,66942.98,5.4,4.34,0.38
CUL_0017,2,2010,shanghai,114419.28,6.3,4.34,0.42
CUL_0018,2,2010,shanghai,39913.7,7.4,4.49,0.46
CUL_0019,2,2010,shanghai,71004.38,5.1,4.5,0.46
CUL_0020,2,2010,shanghai,108957.41,5.5,4.44,0.41
CUL_0021,2,2010,shanghai,155173.27,3.9,4.4,0.31
CUL_0022,2,2010,shanghai,97473.46,5.1,4.38,0.44
CUL_0023,2,2010,shanghai,103215.44,4.8,4.55,0.34
CUL_0024,2,2010,shanghai,82068.18,5.8,4.7,0.32
CUL_0025,2,2010,shanghai,83188.56,5.4,4.69,0.34
CUL_0026,2,2010,shanghai,128003.95,5.6,4.83,0.34
CUL_0027,2,2010,shanghai,98313.75,5.1,4.5,0.41
CUL_0028,2,2010,shanghai,93832.21,5.9,4.58,0.4
CUL_0029,2,2010,shanghai,64562.17,5.7,4.45,0.38
CUL_0030,2,2010,shanghai,61481.11,8.4,4.33,0.46
CUL_0031,2,2010,shanghai,62881.59,6.5,4.4,0.42
CUL_0032,2,2010,shanghai,99854.28,5.3,4.25,0.47
CUL_0033,2,2010,shanghai,71284.47,5.8,4.46,0.42
CUL_0034,2,2010,shanghai,80387.6,5.6,4.37,0.4
CUL_0035,2,2010,shanghai,86409.67,5.2,4.61,0.35
CUL_0036,2,2010,shanghai,91731.49,6.7,4.34,0.43
CUL_0037,2,2010,shanghai,108117.12,5.5,4.54,0.4
CUL_0038,2,2010,shanghai,80527.65,5.7,4.55,0.42
CUL_0039,2,2010,shanghai,69323.8,4.6,4.38,0.42
CUL_0040,2,2010,shanghai,89910.87,6.4,4.47,0.44
CUL_0041,2,2010,shanghai,109377.55,5.6,4.61,0.35
CUL_0042,2,2010,shanghai,111198.18,5.7,4.46,0.38
CUL_0043,2,2010,shanghai,57839.86,6.5,4.43,0.43
CUL_0044,2,2010,shanghai,92571.78,4.7,4.31,0.38
CUL_0045,2,2010,shanghai,123662.46,5.6,4.54,0.37
CUL_0046,2,2010,shanghai,101534.86,6,4.32,0.51
CUL_0047,2,2010,shanghai,67783.27,5.8,4.43,0.46
CUL_0048,2,2010,shanghai,93412.07,5.4,4.43,0.39
CUL_0049,2,2010,shanghai,129824.57,5,4.4,0.41
CUL_0050,2,2010,shanghai,86689.76,4.6,4.45,0.39
CUL_0051,2,2010,shanghai,140608.27,5.2,4.38,0.4
CUL_0052,2,2010,shanghai,113018.8,4.4,4.5,0.33
CUL_0053,2,2010,shanghai,108817.36,4.1,4.37,0.38
CUL_0054,2,2010,shanghai,92291.69,5.1,4.62,0.34
CUL_0055,2,2010,shanghai,81507.98,5.6,4.42,0.43
CUL_0056,2,2010,shanghai,127723.85,5.1,4.33,0.44
CUL_0057,2,2010,shanghai,60920.92,5.5,4.39,0.43
CUL_0058,2,2010,shanghai,111478.27,5.4,4.57,0.41
CUL_0059,2,2010,shanghai,124922.89,4.9,4.44,0.43
CUL_0060,2,2010,shanghai,86969.86,6.2,4.4,0.57
CUL_0061,2,2010,shanghai,86409.67,4.8,4.3,0.42
CUL_0062,2,2010,shanghai,118200.58,5.3,4.39,0.34
CUL_0063,2,2010,shanghai,103635.58,5.1,4.35,0.44
CUL_0064,2,2010,shanghai,80107.5,5.7,4.36,0.45
CUL_0065,2,2010,shanghai,112038.47,4.7,4.34,0.4
CUL_0066,2,2010,shanghai,109377.55,5.8,4.4,0.39
CUL_0067,2,2010,shanghai,76326.2,5.1,4.44,0.41
CUL_0068,2,2010,shanghai,113158.85,6.6,4.46,0.44
CUL_0069,2,2010,shanghai,71704.62,5.5,4.48,0.48
CUL_0070,2,2010,shanghai,88790.48,5.3,4.42,0.44
CUL_0071,2,2010,shanghai,80947.79,6,4.55,0.34
CUL_0072,2,2010,shanghai,66102.69,6,4.4,0.51
CUL_0075,2,2010,shanghai,92571.78,8.3,4.42,0.42
CUL_0076,2,2010,shanghai,93412.07,5.4,4.69,0.33
CUL_0077,2,2010,shanghai,70724.28,5.6,4.4,0.42
CUL_0078,2,2010,shanghai,110497.94,6.2,4.41,0.44
CUL_0079,2,2010,shanghai,125623.13,5.4,4.4,0.4
CUL_0080,2,2010,shanghai,105316.16,5.3,4.45,0.41
CUL_0081,2,2010,shanghai,101814.96,5,4.56,0.34
CUL_0082,2,2010,shanghai,108957.41,5.8,4.3,0.5
CUL_0083,2,2010,shanghai,78286.88,6.1,4.42,0.47
CUL_0084,2,2010,shanghai,91031.25,5.8,4.33,0.45
CUL_0085,2,2010,shanghai,91871.54,6.2,4.45,0.42
CUL_0086,2,2010,shanghai,60920.92,6,4.39,0.41
CUL_0087,2,2010,shanghai,91591.45,5.8,4.37,0.46
CUL_0088,2,2010,shanghai,72965.05,6.1,4.32,0.41
CUL_0089,2,2010,shanghai,91731.49,5.4,4.33,0.37
CUL_0090,2,2010,shanghai,70724.28,6.1,4.42,0.45
CUL_0091,2,2010,shanghai,56019.23,5.2,4.38,0.38
CUL_0091,2,2010,shanghai,111898.42,5.6,4.55,0.36
CUL_0092,2,2010,shanghai,67643.22,5.8,4.47,0.39
CUL_0093,2,2010,shanghai,76466.25,4.6,4.68,0.3
CUL_0094,2,2010,shanghai,90891.2,5.3,4.4,0.41
CUL_0095,2,2010,shanghai,47616.35,5.4,4.45,0.31
CUL_0096,2,2010,shanghai,118060.53,4.6,4.39,0.38
CUL_0097,2,2010,shanghai,73665.29,5.3,4.35,0.44
CUL_0098,2,2010,shanghai,45179.51,4.9,4.24,0.39
CUL_0099,2,2010,shanghai,103495.53,5.6,4.41,0.37
CUL_0100,2,2010,shanghai,129124.33,5.5,4.28,0.46
CUL_0101,2,2010,shanghai,97613.51,4.9,4.34,0.41
CUL_0102,2,2010,shanghai,61060.96,5.1,4.55,0.29
CUL_0103,2,2010,shanghai,65122.36,4.8,4.52,0.3
CUL_0104,2,2010,shanghai,74505.58,5.9,4.5,0.41
CUL_0105,2,2010,shanghai,65402.45,6,4.5,0.33
CUL_0106,2,2010,shanghai,84168.9,5.6,4.41,0.38
CUL_0108,2,2010,shanghai,88930.53,6,4.52,0.37
CUL_0109,2,2010,shanghai,64562.17,5.8,4.39,0.39
CUL_0110,2,2010,shanghai,74505.58,6,4.44,0.54
CUL_0111,2,2010,shanghai,92991.93,6.3,4.56,0.36
CUL_0112,2,2010,shanghai,60920.92,6.4,4.39,0.47
CUL_0113,2,2010,shanghai,35712.26,5.2,4.48,0.3
CUL_0115,2,2010,shanghai,71004.38,5.8,4.49,0.41
CUL_0116,2,2010,shanghai,125763.18,5.2,4.35,0.39
CUL_0117,2,2010,shanghai,113859.09,4.9,4.53,0.3
CUL_0118,2,2010,shanghai,98173.7,4.4,4.39,0.41
CUL_0119,2,2010,shanghai,67363.13,5.9,4.74,0.36
CUL_0120,2,2010,shanghai,72404.86,5.7,4.6,0.4
CUL_0121,2,2010,shanghai,78146.83,6.6,4.43,0.5
CUL_0122,2,2010,shanghai,82488.32,5,4.3,0.4
CUL_0123,2,2010,shanghai,64842.26,4.4,4.41,0.31
CUL_0124,2,2010,shanghai,87670.1,5.2,4.53,0.36
CUL_0125,2,2010,shanghai,77586.64,5.4,4.65,0.33
CUL_0126,2,2010,shanghai,70864.33,5.5,4.43,0.39
CUL_0127,2,2010,shanghai,126183.32,6,4.24,0.57
CUL_0128,2,2010,shanghai,91031.25,7.6,4.41,0.44
CUL_0129,2,2010,shanghai,90611.11,5,4.31,0.47
CUL_0130,2,2010,shanghai,121981.88,4.9,4.45,0.36
CUL_0131,2,2010,shanghai,53778.46,5.6,4.43,0.38
CUL_0132,2,2010,shanghai,53358.32,6.8,4.36,0.53
CUL_0134,2,2010,shanghai,70444.18,5.8,4.28,0.52
CUL_0135,2,2010,shanghai,54618.75,5.7,4.42,0.45
CUL_0136,2,2010,shanghai,74645.63,5.4,4.48,0.37
CUL_0137,2,2010,shanghai,74505.58,4.9,4.46,0.34
CUL_0138,2,2010,shanghai,39213.46,6,4.39,0.38
CUL_0139,2,2010,shanghai,93272.02,6.9,4.47,0.37
CUL_0140,2,2010,shanghai,70024.04,5.6,4.2,0.6
CUL_0141,2,2010,shanghai,84308.94,5.2,4.27,0.41
CUL_0142,2,2010,shanghai,62321.4,6,4.39,0.44
CUL_0478,2,2010,shanghai,91591.45,4.8,4.36,0.47
CUL_0478,2,2010,shanghai,67363.13,5.1,4.31,0.41
